[2025-04-14 00:22:08] [START] User: 86, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:22:48] [FINISH] User: 74, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:22:50] [START] User: 89, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:33:00] [FINISH] User: 80, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:33:02] [START] User: 91, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:56:25] [FINISH] User: 81, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:56:27] [START] User: 90, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:01:40] [FINISH] User: 83, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:01:42] [START] User: 92, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:03:03] [FINISH] User: 92, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:03:05] [START] User: 99, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:06:52] [FINISH] User: 84, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:06:54] [START] User: 93, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:44:39] [FINISH] User: 87, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:44:41] [START] User: 96, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:47:52] [FINISH] User: 86, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:47:54] [START] User: 102, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:48:10] [FINISH] User: 102, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:48:12] [START] User: 103, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:48:30] [FINISH] User: 89, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
